,horizon,mse,rmse,mae,mape,mdape,smape,coverage
166,318 days,0.45872139368236275,0.6772897413089636,0.5427077615705697,0.06299488229615614,0.05627246695457708,0.06351729798424878,0.8148148148148148
174,331 days,0.4626640087271537,0.6801940963630555,0.5427456616231778,0.06339989756149468,0.057611199421865836,0.06341258948946807,0.8888888888888888
193,362 days,0.4692095879835946,0.6849887502606117,0.5438361735395513,0.0636203177873144,0.06151826291824472,0.06350655397560431,0.8888888888888888
194,365 days,0.4735996699725503,0.68818578158267,0.5440840771536607,0.06402011230258747,0.06151826291824472,0.06381723910199633,0.8518518518518519
175,334 days,0.46515119717169207,0.6820199389839655,0.547924325072428,0.06409249879891614,0.057611199421865836,0.06408226947624497,0.8888888888888888
165,316 days,0.49192037597807753,0.7013703557879228,0.5548771103525566,0.06454714306290339,0.054870086193784605,0.06544641022721412,0.8148148148148148
158,305 days,0.4396366498516528,0.6630510160249005,0.5580940871987566,0.06566277068532701,0.056064127926107356,0.06532785181990776,0.7592592592592593
157,304 days,0.4442635088549651,0.6665309511605332,0.560899783024076,0.06600550068375356,0.056064127926107356,0.06537890937672874,0.7407407407407407
159,308 days,0.45345854241358685,0.6733933044021057,0.5659498566441736,0.06669037629263704,0.056064127926107356,0.06625556564589774,0.7777777777777778
164,315 days,0.5134583266152652,0.7165600649040283,0.5692235704666541,0.06600692551770489,0.054870086193784605,0.0671924392872648,0.7777777777777778
183,347 days,0.5384439632171152,0.733787410097172,0.569425390924104,0.06604242324157594,0.057611199421865836,0.06717748182348904,0.9259259259259259
161,310 days,0.4632489707989322,0.6806239569681133,0.5747586232383556,0.06732338165114604,0.05627246695457708,0.06753843000611841,0.7777777777777778
176,335 days,0.5001852156442026,0.7072377362982002,0.5763958468903565,0.06772235040527794,0.05851452588127528,0.0674500037361417,0.8518518518518519
160,309 days,0.46435200896076245,0.6814337891246386,0.5776549503848789,0.06816779424068935,0.05627246695457708,0.06787640163770998,0.7777777777777778
182,345 days,0.5563645693114955,0.7458984979952,0.5833964187194935,0.06752720307661783,0.057611199421865836,0.0688259512752615,0.9074074074074074
178,339 days,0.49932154903017506,0.7066268810554656,0.5848302871834472,0.06871840379366395,0.06151826291824472,0.06887858263854804,0.9074074074074074
163,314 days,0.5231885626932828,0.7233177467014638,0.586279730162107,0.0678471565485178,0.056064127926107356,0.06909180050264745,0.7777777777777778
179,340 days,0.49797017489119333,0.7056700184159685,0.5888578615580242,0.0690731467055006,0.06151826291824472,0.0695434526891448,0.9259259259259259
180,341 days,0.5062853921565467,0.7115373441756565,0.594106481264062,0.06970314792076768,0.06151826291824472,0.07023600595889577,0.8888888888888888
177,336 days,0.5181353493173888,0.7198161913415041,0.5956985381613237,0.07003682209295604,0.062488874300252406,0.06992537675996802,0.8518518518518519
181,344 days,0.5774640586473384,0.7599105596366841,0.6071057973923328,0.07020324040874344,0.05851452588127528,0.0716419546167796,0.8888888888888888
162,313 days,0.550709149703982,0.7420978033278242,0.6087627070196691,0.07065387467690731,0.05627246695457708,0.0717718580836964,0.7777777777777778
